# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_start_retained_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_upstream_gene_variant
ABCA4	ENSG00000198691	ENST00000536513	protein_coding	0	1	0	40	0	0	0	0	0	0	2	0	38	0	0	0	0	1	0	0	0	0	1
ABCB10	ENSG00000135776	ENST00000344517	protein_coding	0	0	0	35	0	0	0	0	0	0	4	0	25	0	0	0	0	0	0	0	0	0	6
ABCB10	ENSG00000135776	ENST00000486755	processed_transcript	0	0	0	12	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	7
ABCB10	ENSG00000135776	ENST00000498158	processed_transcript	0	0	0	8	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4
ABCD3	ENSG00000117528	ENST00000315713	protein_coding	0	0	0	26	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	3
ABCD3	ENSG00000117528	ENST00000370214	protein_coding	0	0	0	41	6	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	3
ABCD3	ENSG00000117528	ENST00000464165	processed_transcript	0	0	0	6	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0
ABCD3	ENSG00000117528	ENST00000468860	processed_transcript	0	0	0	26	0	0	0	0	0	0	5	0	18	0	0	0	0	0	0	0	0	0	3
ABCD3	ENSG00000117528	ENST00000484213	processed_transcript	0	0	0	20	0	0	0	0	0	0	0	0	9	6	0	0	0	0	0	0	0	0	5
ABCD3	ENSG00000117528	ENST00000493416	processed_transcript	0	0	0	9	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	5
ABHD17AP1	ENSG00000198658	ENST00000358206	unprocessed_pseudogene	0	0	0	7	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	2
ABHD17AP3	ENSG00000250536	ENST00000503096	unprocessed_pseudogene	0	0	0	5	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	1
ABL2	ENSG00000143322	ENST00000344730	protein_coding	0	0	0	53	0	0	0	0	0	0	6	0	44	0	0	0	0	0	0	0	0	0	3
ABL2	ENSG00000143322	ENST00000367623	protein_coding	0	0	0	105	0	0	0	0	0	0	1	0	92	0	0	0	0	0	0	0	0	0	12
ABL2	ENSG00000143322	ENST00000392043	protein_coding	0	0	0	104	0	7	0	0	0	0	1	0	91	0	0	0	0	0	0	0	0	0	5
ABL2	ENSG00000143322	ENST00000502732	protein_coding	0	0	0	119	5	0	0	0	0	0	10	0	92	0	0	0	0	0	0	0	0	0	12
ABL2	ENSG00000143322	ENST00000504324	retained_intron	0	0	0	41	0	0	0	0	0	0	11	0	26	1	0	0	0	0	0	0	0	0	3
ABL2	ENSG00000143322	ENST00000504405	protein_coding	0	0	0	48	0	0	0	0	0	0	1	0	44	0	0	0	0	0	0	0	0	0	3
ABL2	ENSG00000143322	ENST00000507173	protein_coding	0	0	0	105	0	0	0	0	0	0	1	0	92	0	0	0	0	0	0	0	0	0	12
ABL2	ENSG00000143322	ENST00000508127	retained_intron	0	0	0	19	0	0	0	0	0	0	9	0	7	0	0	0	0	0	0	0	0	0	3
ABL2	ENSG00000143322	ENST00000509520	retained_intron	0	0	0	41	0	0	0	0	0	0	8	0	26	4	0	0	0	0	0	0	0	0	3
ABL2	ENSG00000143322	ENST00000511413	protein_coding	0	0	0	105	0	0	0	0	0	0	1	0	92	0	0	0	0	0	0	0	0	0	12
ABL2	ENSG00000143322	ENST00000512653	protein_coding	0	0	0	48	0	0	0	0	0	0	1	0	44	0	0	0	0	0	0	0	0	0	3
AC004824.1	ENSG00000280226	ENST00000624583	protein_coding	1	0	0	11	0	0	0	0	0	0	4	1	3	0	0	0	1	1	0	0	0	0	5
AC096949.1	ENSG00000283495	ENST00000361522	protein_coding	0	0	1	30	0	0	0	0	1	0	2	0	26	0	0	0	0	0	0	0	0	0	2
AC234582.1	ENSG00000279487	ENST00000624572	protein_coding	0	0	0	6	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	1
AC234582.2	ENSG00000279986	ENST00000623940	protein_coding	0	0	0	4	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1
AC241377.1	ENSG00000281741	ENST00000626088	protein_coding	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AC241585.1	ENSG00000281571	ENST00000628937	protein_coding	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC242988.1	ENSG00000278939	ENST00000624245	protein_coding	0	0	0	19	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	14
AC243756.1	ENSG00000270339	ENST00000584068	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AC245100.1	ENSG00000280649	ENST00000629247	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACA64	ENSG00000238934	ENST00000459014	snoRNA	0	0	0	12	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	8
ACADM	ENSG00000117054	ENST00000370834	protein_coding	0	0	0	35	2	0	0	0	0	0	3	0	28	0	0	0	0	0	0	0	0	0	2
ACADM	ENSG00000117054	ENST00000370841	protein_coding	0	0	0	38	2	1	0	0	0	0	6	0	28	0	0	0	0	0	0	0	0	0	1
ACADM	ENSG00000117054	ENST00000420607	protein_coding	0	0	0	35	1	0	0	0	0	0	4	0	28	0	0	0	0	0	0	0	0	0	2
ACADM	ENSG00000117054	ENST00000473018	retained_intron	0	0	0	15	0	0	0	0	0	0	7	0	6	0	0	0	0	0	0	0	0	0	2
ACADM	ENSG00000117054	ENST00000481374	processed_transcript	0	1	0	17	0	0	0	0	0	0	3	0	10	2	0	0	0	1	0	0	0	0	3
ACADM	ENSG00000117054	ENST00000525808	nonsense_mediated_decay	0	0	0	36	1	0	0	0	0	0	4	0	28	1	0	0	0	0	0	0	0	0	2
ACADM	ENSG00000117054	ENST00000525881	retained_intron	0	0	0	16	0	0	0	0	0	0	8	0	6	0	0	0	0	0	0	0	0	0	2
ACADM	ENSG00000117054	ENST00000526129	nonsense_mediated_decay	0	0	0	34	1	0	0	0	0	0	3	0	27	1	0	0	0	0	0	0	0	0	2
ACADM	ENSG00000117054	ENST00000526196	nonsense_mediated_decay	0	0	0	36	1	0	0	0	0	0	4	0	28	1	0	0	0	0	0	0	0	0	2
ACADM	ENSG00000117054	ENST00000526930	retained_intron	0	0	0	19	0	0	0	0	0	0	8	0	9	0	0	0	0	0	0	0	0	0	2
ACADM	ENSG00000117054	ENST00000528016	nonsense_mediated_decay	0	0	0	28	0	0	0	0	0	0	2	0	24	0	0	0	0	0	0	0	0	0	2
ACADM	ENSG00000117054	ENST00000529059	retained_intron	0	0	0	31	0	0	0	0	0	0	4	0	22	1	0	0	0	0	0	0	0	0	4
ACADM	ENSG00000117054	ENST00000530953	nonsense_mediated_decay	0	0	0	27	0	0	0	0	0	0	8	0	17	0	0	0	0	0	0	0	0	0	2
ACADM	ENSG00000117054	ENST00000532207	retained_intron	0	0	0	17	0	0	0	0	0	0	4	0	11	1	0	0	0	0	0	0	0	0	1
ACADM	ENSG00000117054	ENST00000532509	nonsense_mediated_decay	0	0	0	27	0	0	0	0	0	0	8	0	17	0	0	0	0	0	0	0	0	0	2
ACADM	ENSG00000117054	ENST00000534146	retained_intron	0	0	0	16	0	0	0	0	0	0	8	0	6	0	0	0	0	0	0	0	0	0	2
ACADM	ENSG00000117054	ENST00000534334	nonsense_mediated_decay	0	0	0	33	0	0	0	0	0	0	4	0	27	0	0	0	0	0	0	0	0	0	2
ACADM	ENSG00000117054	ENST00000541113	protein_coding	0	0	0	38	2	1	0	0	0	0	6	0	28	0	0	0	0	0	0	0	0	0	1
ACAP3	ENSG00000131584	ENST00000353662	protein_coding	0	0	0	21	0	0	0	0	0	0	6	0	9	0	0	0	0	0	0	0	0	0	6
ACAP3	ENSG00000131584	ENST00000354700	protein_coding	0	0	0	27	1	0	0	0	0	0	9	0	14	0	0	0	0	0	0	0	0	0	3
ACAP3	ENSG00000131584	ENST00000354980	nonsense_mediated_decay	0	0	0	15	0	0	0	0	0	0	3	0	9	0	0	0	0	0	0	0	0	0	3
ACAP3	ENSG00000131584	ENST00000379037	processed_transcript	0	0	0	11	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	5
ACAP3	ENSG00000131584	ENST00000438966	processed_transcript	0	0	0	13	0	0	0	0	0	0	5	0	5	0	0	0	0	0	0	0	0	0	3
ACAP3	ENSG00000131584	ENST00000467278	retained_intron	0	0	0	20	0	0	0	0	0	0	9	0	4	1	0	0	0	0	0	0	0	0	6
ACAP3	ENSG00000131584	ENST00000470659	retained_intron	0	0	0	11	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	3
ACAP3	ENSG00000131584	ENST00000472541	retained_intron	0	0	0	17	0	0	0	0	0	0	4	0	11	1	0	0	0	0	0	0	0	0	1
ACAP3	ENSG00000131584	ENST00000476572	retained_intron	0	0	0	12	0	0	0	0	0	0	4	0	2	1	0	0	0	0	0	0	0	0	5
ACAP3	ENSG00000131584	ENST00000478065	retained_intron	0	0	0	14	0	0	0	0	0	0	7	0	0	2	0	0	0	0	0	0	0	0	5
ACAP3	ENSG00000131584	ENST00000479108	retained_intron	0	0	0	14	0	0	0	0	0	0	6	0	5	0	0	0	0	0	0	0	0	0	3
ACAP3	ENSG00000131584	ENST00000492936	retained_intron	0	0	0	26	0	0	0	0	0	0	9	0	10	3	0	0	0	0	0	0	0	0	4
ACAP3	ENSG00000131584	ENST00000493992	retained_intron	0	0	0	10	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	5
ACBD3	ENSG00000182827	ENST00000366812	protein_coding	0	0	0	53	2	0	0	0	0	0	6	0	43	0	0	0	0	0	0	0	0	0	2
ACBD3	ENSG00000182827	ENST00000464927	processed_transcript	0	0	0	15	0	0	0	0	0	0	3	0	5	0	0	0	0	0	0	0	0	0	7
ACBD6	ENSG00000230124	ENST00000367595	protein_coding	0	0	0	99	0	0	0	0	0	0	2	0	95	0	0	0	0	0	0	0	0	0	2
ACBD6	ENSG00000230124	ENST00000415414	processed_transcript	0	0	0	8	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	6
ACBD6	ENSG00000230124	ENST00000440959	processed_transcript	0	0	0	8	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	5
ACBD6	ENSG00000230124	ENST00000475338	processed_transcript	0	0	0	52	0	0	0	0	0	0	1	0	48	1	0	0	0	0	0	0	0	0	2
ACBD6	ENSG00000230124	ENST00000496993	processed_transcript	0	0	0	65	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	5
ACBD6	ENSG00000230124	ENST00000622400	processed_transcript	0	0	0	8	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	6
ACKR1	ENSG00000213088	ENST00000368121	protein_coding	0	0	0	13	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	7
ACKR1	ENSG00000213088	ENST00000368122	protein_coding	0	0	0	13	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	6
ACKR1	ENSG00000213088	ENST00000435307	protein_coding	0	0	0	13	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	6
ACKR1	ENSG00000213088	ENST00000537147	protein_coding	0	0	0	13	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	6
ACOT11	ENSG00000162390	ENST00000343744	protein_coding	0	1	1	68	0	0	0	0	1	0	7	0	58	0	0	0	0	1	0	0	0	0	4
ACOT11	ENSG00000162390	ENST00000371316	protein_coding	0	1	1	85	1	0	0	0	1	0	6	0	75	0	0	0	0	1	0	0	0	0	4
ACOT11	ENSG00000162390	ENST00000479837	processed_transcript	0	0	0	11	0	0	0	0	0	0	6	0	2	0	0	0	0	0	0	0	0	0	3
ACOT11	ENSG00000162390	ENST00000481208	processed_transcript	0	1	0	74	0	0	0	0	0	0	7	0	62	2	0	0	0	1	0	0	0	0	4
ACOT11	ENSG00000162390	ENST00000498228	processed_transcript	0	2	0	58	0	0	0	0	0	0	5	0	50	1	0	0	0	2	0	0	0	0	4
ACOT7	ENSG00000097021	ENST00000361521	protein_coding	0	0	0	81	0	1	0	0	0	0	3	0	71	0	0	0	0	0	0	0	0	0	6
ACOT7	ENSG00000097021	ENST00000377842	protein_coding	0	0	0	42	0	0	0	0	0	0	3	0	39	0	0	0	0	0	0	0	0	0	0
ACOT7	ENSG00000097021	ENST00000377845	protein_coding	0	0	0	43	0	0	0	0	0	0	3	0	39	0	0	0	0	0	0	0	0	0	1
ACOT7	ENSG00000097021	ENST00000377855	protein_coding	0	0	0	74	0	0	0	0	0	0	3	0	68	0	0	0	0	0	0	0	0	0	3
ACOT7	ENSG00000097021	ENST00000377860	nonsense_mediated_decay	0	0	0	80	0	0	0	0	0	0	3	0	71	0	0	0	0	0	0	0	0	0	6
ACOT7	ENSG00000097021	ENST00000418124	nonsense_mediated_decay	0	0	0	80	0	0	0	0	0	0	3	0	71	0	0	0	0	0	0	0	0	0	6
ACOT7	ENSG00000097021	ENST00000473466	protein_coding	0	0	0	33	0	0	0	0	0	0	2	0	25	0	0	0	0	0	0	0	0	0	6
ACOT7	ENSG00000097021	ENST00000481175	retained_intron	0	0	0	9	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	5
ACOT7	ENSG00000097021	ENST00000545482	protein_coding	0	0	0	80	0	1	0	0	0	0	3	0	71	0	0	0	0	0	0	0	0	0	5
ACOT7	ENSG00000097021	ENST00000608083	protein_coding	0	0	0	80	0	0	0	0	0	0	3	0	71	0	0	0	0	0	0	0	0	0	6
ACP6	ENSG00000162836	ENST00000392988	protein_coding	0	0	0	27	0	0	0	0	0	0	1	0	20	0	0	0	0	0	0	0	0	0	6
ACP6	ENSG00000162836	ENST00000460583	retained_intron	0	0	0	13	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	9
ACP6	ENSG00000162836	ENST00000487562	protein_coding	0	0	0	28	0	0	0	0	0	0	2	0	20	0	0	0	0	0	0	0	0	0	6
ACP6	ENSG00000162836	ENST00000493129	protein_coding	0	0	0	26	0	0	0	0	0	0	9	0	11	0	0	0	0	0	0	0	0	0	6
ACP6	ENSG00000162836	ENST00000583509	protein_coding	0	0	0	30	3	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	6
ACP6	ENSG00000162836	ENST00000609196	protein_coding	0	0	0	26	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	7
ACP6	ENSG00000162836	ENST00000611629	protein_coding	0	0	0	18	0	0	0	0	0	0	1	0	10	0	0	0	0	0	0	0	0	0	7
ACP6	ENSG00000162836	ENST00000613673	retained_intron	0	0	0	30	0	0	0	0	0	0	3	0	21	0	0	0	0	0	0	0	0	0	6
ACP6	ENSG00000162836	ENST00000614551	retained_intron	0	0	0	18	0	0	0	0	0	0	1	0	10	0	0	0	0	0	0	0	0	0	7
ACP6	ENSG00000162836	ENST00000620634	nonsense_mediated_decay	0	0	0	27	0	0	0	0	0	0	1	0	20	0	0	0	0	0	0	0	0	0	6
ACTA1	ENSG00000143632	ENST00000366683	protein_coding	0	0	0	13	0	0	0	0	0	0	3	0	4	0	0	0	0	0	0	0	0	0	6
ACTA1	ENSG00000143632	ENST00000366684	protein_coding	0	0	0	13	0	0	0	0	0	0	3	0	4	0	0	0	0	0	0	0	0	0	6
ACTBP11	ENSG00000188460	ENST00000436287	processed_pseudogene	0	0	0	9	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	3
ACTBP12	ENSG00000233125	ENST00000435871	processed_pseudogene	0	0	0	8	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	6
ACTG1P20	ENSG00000241547	ENST00000486001	processed_pseudogene	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ACTG1P21	ENSG00000232672	ENST00000431536	processed_pseudogene	0	0	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5
ACTG1P4	ENSG00000236085	ENST00000425123	processed_pseudogene	0	0	0	7	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	4
ACTL8	ENSG00000117148	ENST00000375406	protein_coding	0	0	0	46	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	1
ACTL8	ENSG00000117148	ENST00000617065	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
ACTN2	ENSG00000077522	ENST00000366578	protein_coding	0	0	0	62	1	0	0	0	0	0	7	0	50	0	0	0	0	0	0	0	0	0	4
ACTN2	ENSG00000077522	ENST00000461367	processed_transcript	0	0	0	16	0	0	0	0	0	0	5	0	8	0	0	0	0	0	0	0	0	0	3
ACTN2	ENSG00000077522	ENST00000492101	processed_transcript	0	0	0	4	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1
ACTN2	ENSG00000077522	ENST00000492634	processed_transcript	0	0	0	43	0	0	0	0	0	0	1	0	38	0	0	0	0	0	0	0	0	0	4
ACTN2	ENSG00000077522	ENST00000494762	processed_transcript	0	0	0	11	0	0	0	0	0	0	1	0	7	0	0	0	0	0	0	0	0	0	3
ACTN2	ENSG00000077522	ENST00000542672	protein_coding	0	0	0	62	1	0	0	0	0	0	7	0	50	0	0	0	0	0	0	0	0	0	4
ACTN2	ENSG00000077522	ENST00000546208	protein_coding	2	0	0	60	1	0	0	0	0	0	7	2	48	0	0	0	0	0	0	0	0	0	4
ACTN4P2	ENSG00000214141	ENST00000473049	processed_pseudogene	0	0	0	11	0	0	0	0	0	0	5	0	2	0	0	0	0	0	0	0	0	0	4
ACTRT2	ENSG00000169717	ENST00000378404	protein_coding	0	0	1	12	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	7
ADAM15	ENSG00000143537	ENST00000271836	protein_coding	0	0	0	16	0	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	8
ADAM15	ENSG00000143537	ENST00000355956	protein_coding	0	0	0	16	0	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	8
ADAM15	ENSG00000143537	ENST00000356955	protein_coding	0	0	0	16	0	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	8
ADAM15	ENSG00000143537	ENST00000359280	protein_coding	0	0	0	16	0	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	8
ADAM15	ENSG00000143537	ENST00000360674	protein_coding	0	0	0	16	0	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	8
ADAM15	ENSG00000143537	ENST00000368412	protein_coding	0	0	0	16	0	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	8
ADAM15	ENSG00000143537	ENST00000368413	protein_coding	0	0	0	16	0	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	8
ADAM15	ENSG00000143537	ENST00000447332	protein_coding	0	1	0	11	0	0	0	0	0	0	2	0	2	0	0	0	0	1	0	0	0	0	8
ADAM15	ENSG00000143537	ENST00000449910	protein_coding	0	0	0	16	0	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	8
ADAM15	ENSG00000143537	ENST00000461234	processed_transcript	0	0	0	7	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	1
ADAM15	ENSG00000143537	ENST00000461564	retained_intron	0	0	0	16	0	0	0	0	0	0	5	0	3	0	0	0	0	0	0	0	0	0	8
ADAM15	ENSG00000143537	ENST00000462116	processed_transcript	0	0	0	7	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	1
ADAM15	ENSG00000143537	ENST00000464824	retained_intron	0	0	0	7	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	2
ADAM15	ENSG00000143537	ENST00000468053	processed_transcript	0	0	0	7	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	1
ADAM15	ENSG00000143537	ENST00000470779	processed_transcript	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1
ADAM15	ENSG00000143537	ENST00000472434	processed_transcript	0	0	0	16	0	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	8
ADAM15	ENSG00000143537	ENST00000473905	processed_transcript	0	0	0	11	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	8
ADAM15	ENSG00000143537	ENST00000474709	processed_transcript	0	0	0	7	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	1
ADAM15	ENSG00000143537	ENST00000477533	processed_transcript	0	0	0	10	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	8
ADAM15	ENSG00000143537	ENST00000480331	processed_transcript	0	0	0	11	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	8
ADAM15	ENSG00000143537	ENST00000485346	processed_transcript	0	0	0	10	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	8
ADAM15	ENSG00000143537	ENST00000487956	processed_transcript	0	0	0	11	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	8
ADAM15	ENSG00000143537	ENST00000498481	retained_intron	0	0	0	7	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	1
ADAM15	ENSG00000143537	ENST00000525020	retained_intron	0	0	0	3	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1
ADAM15	ENSG00000143537	ENST00000526491	nonsense_mediated_decay	0	0	0	16	0	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	8
ADAM15	ENSG00000143537	ENST00000527418	retained_intron	0	0	0	16	0	0	0	0	0	0	4	0	3	1	0	0	0	0	0	0	0	0	8
ADAM15	ENSG00000143537	ENST00000529473	nonsense_mediated_decay	0	0	0	16	0	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	8
ADAM15	ENSG00000143537	ENST00000531455	protein_coding	0	0	0	16	0	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	8
ADAM15	ENSG00000143537	ENST00000531703	processed_transcript	0	0	0	10	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	8
ADAM15	ENSG00000143537	ENST00000531831	processed_transcript	0	0	0	10	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	8
ADAM15	ENSG00000143537	ENST00000533732	processed_transcript	0	0	0	10	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	8
ADAM15	ENSG00000143537	ENST00000534019	retained_intron	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1
ADAM30	ENSG00000134249	ENST00000369400	protein_coding	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1
ADAMTS4	ENSG00000158859	ENST00000367995	protein_coding	0	0	0	5	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS4	ENSG00000158859	ENST00000367996	protein_coding	0	0	0	22	9	0	0	0	0	0	8	0	5	0	0	0	0	0	0	0	0	0	0
ADAMTS4	ENSG00000158859	ENST00000478394	processed_transcript	0	0	0	11	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	4
ADAMTSL4	ENSG00000143382	ENST00000271643	protein_coding	1	0	0	26	0	0	0	0	0	0	6	1	15	0	0	0	0	0	0	0	0	0	5
ADAMTSL4	ENSG00000143382	ENST00000369038	protein_coding	1	0	0	23	0	0	0	0	0	0	6	1	11	0	0	0	0	0	0	0	0	0	6
ADAMTSL4	ENSG00000143382	ENST00000369039	protein_coding	1	0	0	26	0	0	0	0	0	0	6	1	15	0	0	0	0	0	0	0	0	0	5
ADAMTSL4	ENSG00000143382	ENST00000369041	protein_coding	1	0	0	21	0	0	0	0	0	0	1	1	15	0	0	0	0	0	0	0	0	0	5
ADAMTSL4	ENSG00000143382	ENST00000483335	processed_transcript	0	0	0	18	0	0	0	0	0	0	9	0	0	4	0	0	0	0	0	0	0	0	5
